date,cell_ll_lat,cell_ll_lon,mmsi,hours,fishing_hours
2024-06-03,-55.3,-36.3,665111129,0.2444,0
2024-06-03,-55.3,-36.4,665111129,0.6902,0
2024-06-03,-55.3,-36.6,665111129,0.455,0
2024-06-03,-55.3,-36.5,665111129,0.3725,0
2024-06-03,-55.2,-36.5,665111129,0.1155,0
2024-06-03,-55.2,-36.6,665111129,1.2677,0
2024-06-03,-55.2,-36.8,665111129,3.1911,2.8002
2024-06-03,-55.2,-36.7,665111129,1.6861,0
2024-06-03,-55.1,-37,665111129,0.4422,0.4422
2024-06-03,-55.1,-36.8,665111129,7.7227,6.3066
2024-06-03,-55.1,-36.9,665111129,5.8413,4.8205
2024-06-03,-55.1,-36.7,665111129,1.9702,1.5486
2024-06-03,-55,158.6,503718000,1.8891,1.8891
2024-06-03,-55,-67.2,701001157,1.5658,1.5658
2024-06-03,-55,-67.3,701001157,0.2163,0.2163
2024-06-03,-54.9,158.6,503718000,4.7938,3.8774
2024-06-03,-54.9,-67.2,701001157,1.023,1.023
2024-06-03,-54.9,-68.1,701001157,1.525,1.525
2024-06-03,-54.9,-67.3,701001157,2.6588,2.6588
2024-06-03,-54.9,-67.7,701001157,2.1161,2.1161
2024-06-03,-54.9,-63,701068000,1.9311,1.6141
2024-06-03,-54.9,-63.2,701068000,0.4652,0.4652
2024-06-03,-54.9,-63.1,701068000,0.2986,0.2986
2024-06-03,-54.8,-53.4,440863000,0.4511,0
2024-06-03,-54.8,-53.5,440863000,0.0991,0
2024-06-03,-54.8,158.6,503718000,7.0588,5.4627
2024-06-03,-54.8,-62.9,701000627,1.0811,1.0811
2024-06-03,-54.8,-63,701000627,1.8358,1.6063
2024-06-03,-54.8,-63.1,701000627,0.7716,0.7716
2024-06-03,-54.8,-68.3,701006406,26.2997,0
2024-06-03,-54.8,-63.2,701068000,3.0227,2.6469
2024-06-03,-54.8,-62.9,701068000,6.0141,4.9683
2024-06-03,-54.8,-63.1,701068000,3.5222,2.7788
2024-06-03,-54.8,-62.8,701068000,1.7419,1.4227
2024-06-03,-54.8,-63,701068000,5.7505,5.2866
2024-06-03,-54.8,-62.7,701068000,1.383,1.003
2024-06-03,-54.7,-53.6,440863000,0.3769,0
2024-06-03,-54.7,-53.5,440863000,0.4788,0
2024-06-03,-54.7,158.6,503718000,0.6138,0
2024-06-03,-54.7,-63.2,701000627,0.7516,0
2024-06-03,-54.7,-63,701000627,1.7775,1.2997
2024-06-03,-54.7,-62.8,701000627,1.4505,1.4505
2024-06-03,-54.7,-63.1,701000627,1.3666,0.6549
2024-06-03,-54.7,-63.3,701000627,0.5408,0
2024-06-03,-54.7,-62.9,701000627,1.8836,1.4208
2024-06-03,-54.6,-53.8,440863000,0.0388,0
2024-06-03,-54.6,-53.7,440863000,0.5838,0
2024-06-03,-54.6,-53.6,440863000,0.2469,0
2024-06-03,-54.6,158.6,503718000,0.5186,0
2024-06-03,-54.6,-35.2,665111130,4.4763,3.1236
2024-06-03,-54.6,-35.3,665111130,0.1597,0.1597
2024-06-03,-54.6,-63.3,701000627,0.6558,0.1261
2024-06-03,-54.6,-63.4,701000627,2.1958,1.5358
2024-06-03,-54.5,-53.9,440863000,0.368,0
2024-06-03,-54.5,-53.8,440863000,0.5572,0
2024-06-03,-54.5,158.7,503718000,2.3624,1.5902
2024-06-03,-54.5,158.6,503718000,1.178,0.8177
2024-06-03,-54.5,-35.2,665111130,12.3855,10.0916
2024-06-03,-54.5,-63.4,701000627,0.5552,0
2024-06-03,-54.5,-63.3,701000627,0.1511,0
2024-06-03,-54.5,-73.8,725002300,1.5074,1.1794
2024-06-03,-54.5,-73.6,725002300,7.5138,7.3419
2024-06-03,-54.5,-73.7,725002300,3.6066,2.9911
2024-06-03,-54.4,-54,440863000,0.598,0
2024-06-03,-54.4,-54.1,440863000,0.0186,0
2024-06-03,-54.4,-53.9,440863000,0.2394,0
2024-06-03,-54.4,158.7,503718000,1.6599,0
2024-06-03,-54.4,158.8,503718000,0.065,0
2024-06-03,-54.4,-35.3,665111130,1.2672,0.8988
2024-06-03,-54.4,-35.2,665111130,5.5463,4.8411
2024-06-03,-54.4,-63.4,701000627,0.5908,0
2024-06-03,-54.4,-73.9,725002300,2.8172,2.3461
2024-06-03,-54.4,-73.8,725002300,3.4258,2.7536
2024-06-03,-54.3,-35.7,257400000,5.9697,5.9697
2024-06-03,-54.3,-35.8,257400000,16.7588,16.7588
2024-06-03,-54.3,-35.7,259539000,9.7583,9.7583
2024-06-03,-54.3,-35.8,259539000,12.3494,12.3494
2024-06-03,-54.3,-54.2,440863000,0.2497,0
2024-06-03,-54.3,-54.1,440863000,0.6261,0
2024-06-03,-54.3,158.7,503718000,0.55,0
2024-06-03,-54.3,158.8,503718000,1.3377,0
2024-06-03,-54.3,-35.3,665111130,0.1647,0
2024-06-03,-54.3,-63.3,701000627,0.3805,0
