image_id,detection_confidence,image_timestamp,detection_source,mmsi,vessel_name,vessel_flag,vessel_type,vessel_id,detection_lat,detection_lon,fishing_event_lat,fishing_event_lon,event_start,event_end,event_id,event_type,event_duration_hours,potential_risk,is_high_risk,eez_regions,rfmo_regions,fao_regions,mpa_regions,distance_from_shore_km,distance_from_port_km,total_distance_km,average_speed_knots,ingested_at,fishing_processed_at,detection_processed_at,ship_image_url
38,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,273841020,XXVII SYEZD KPSS,RUS,,273841020,50.1,155.5,50.1,155.5,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0038,vessel_presence,6.0,true,false,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
39,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,292703,LONGLINE BUOY 03-98%,,,292703,-9.3,168.8000030517578,-9.3,168.8000030517578,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0039,vessel_presence,6.0,true,false,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
40,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,311001197,AFRICAN WOODSTAR,BHS,,311001197,-33.8,18.200000762939453,-33.8,18.100000381469727,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0040,vessel_presence,6.0,true,false,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
41,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,311044100,CMA CGM AFRICA FOUR,BHS,,311044100,-20.1,35.400001525878906,-20.1,35.400001525878906,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0041,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
42,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,312536000,SOFIA,BLZ,,312536000,11.9,45.29999923706055,12.0,44.70000076293945,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0042,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
43,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,314122000,ELFRIEDE,BRB,,314122000,2.0,45.29999923706055,2.0,45.29999923706055,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0043,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
44,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,314658000,BRAVE,BRB,,314658000,9.5,53.20000076293945,8.9,52.70000076293945,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0044,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
45,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,319225400,KORU,CYM,,319225400,-0.5,-90.30000305175781,-0.5,-90.30000305175781,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0045,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
46,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,319225500,ABEONA,CYM,,319225500,-0.5,-90.30000305175781,-0.5,-90.30000305175781,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0046,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
47,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,338850000,CG WAESCHE,USA,,338850000,53.9,-166.5,53.9,-166.5,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0047,vessel_presence,6.0,true,false,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
48,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,341175002,ZAMBEZI,KNA,,341175002,-13.0,40.5,-13.0,40.5,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0048,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
49,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,341859001,RAHAF MOON,KNA,,341859001,5.6,0.0,5.6,0.0,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0049,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
50,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,341866001,AFRICAN C,KNA,,341866001,4.2,48.099998474121094,3.5,47.5,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0050,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
51,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,351084000,BITU ATLANTIC,PAN,,351084000,6.1,1.2999999523162842,6.1,1.2999999523162842,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0051,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
52,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,352001650,PLATINUM JUBILEE,PAN,,352001650,2.3,169.60000610351562,2.7,170.39999389648438,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0052,vessel_presence,6.0,true,false,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
53,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,352002464,DEBI,PAN,,352002464,20.3,86.80000305175781,20.3,86.80000305175781,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0053,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
54,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,352002785,ELEANNA,PAN,,352002785,6.1,1.2999999523162842,6.1,1.2999999523162842,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0054,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
55,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,352002806,SANDY LANES,PAN,,352002806,11.3,49.099998474121094,11.3,49.099998474121094,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0055,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
56,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,352004375,HADAL SALLY,PAN,,352004375,27.0,-15.600000381469727,27.8,-15.100000381469727,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0056,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
57,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,352005522,LAN NING 17,PAN,,352005522,34.7,119.4000015258789,34.7,119.4000015258789,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0057,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
58,0.95,2026-04-21T06:00:00.000Z,GFW_4WINGS,352072000,SEIYO HARMONY,PAN,,352072000,-19.9,35.20000076293945,-19.9,35.20000076293945,2026-04-21T00:00:00.000Z,2026-04-21T06:00:00.000Z,gfw-0058,vessel_presence,6.0,true,true,,,,,,,,,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,2026-04-26T06:34:07.000Z,
